ID,Classification,Confidence,Tarra Weight,Year
0,nok,0.989,N/A,N/A
1,ok,0.994,10.8kg,2033
2,ok,0.997,N/A,2036
3,nok,0.999,N/A,N/A
4,ok,0.998,10.6kg,2036
5,ok,0.995,10.6kg,2036
6,nok,0.998,15.6kg,2033
7,ok,0.995,N/A,2036
8,nok,0.995,N/A,2028
9,ok,0.994,N/A,N/A
10,ok,0.966,N/A,N/A
11,ok,0.991,10.5kg,2037
12,ok,0.984,N/A,2033
13,ok,0.997,14.3kg,2033
14,ok,0.993,10.6kg,2032
15,nok,0.995,15.8kg,N/A
16,ok,0.994,N/A,N/A
17,nok,0.995,N/A,N/A
18,nok,0.991,N/A,2028
19,ok,0.999,N/A,2033
20,nok,1.000,N/A,N/A
21,nok,0.990,N/A,N/A
22,ok,0.998,10.8kg,2039
23,ok,0.993,N/A,2039
24,ok,0.977,16.1kg,2037
25,ok,0.984,N/A,N/A
26,ok,0.996,10.8kg,2039
27,ok,0.996,N/A,N/A
28,ok,0.997,10.6kg,2033
29,nok,0.998,N/A,N/A
30,ok,0.967,N/A,N/A
31,nok,0.998,N/A,N/A
32,nok,0.994,N/A,N/A
33,nok,0.991,N/A,N/A
34,ok,0.996,10.6kg,2038
35,nok,0.997,N/A,N/A
36,nok,0.994,N/A,N/A
37,ok,0.992,14.6kg,2039
38,nok,0.995,N/A,N/A
39,nok,0.994,N/A,2033
40,ok,0.998,10.7kg,2057
41,ok,0.996,10.8kg,2037
42,nok,0.987,N/A,2040
43,nok,0.994,N/A,N/A
44,nok,0.997,N/A,N/A
45,nok,0.999,10.5kg,N/A
46,ok,0.991,10.5kg,2033
47,nok,0.998,15.9kg,N/A
48,ok,0.984,N/A,2029
49,nok,0.814,N/A,N/A
50,nok,0.998,N/A,N/A
51,nok,0.996,N/A,2031
52,nok,0.999,N/A,N/A
53,nok,0.999,N/A,N/A
54,nok,0.997,N/A,N/A
55,nok,0.999,N/A,N/A
56,nok,1.000,N/A,N/A
57,nok,1.000,N/A,N/A
58,nok,0.999,N/A,N/A
59,nok,1.000,N/A,N/A
60,nok,0.993,N/A,N/A
61,nok,0.994,N/A,N/A
62,ok,0.999,10.6kg,2038
63,nok,0.996,11.1kg,2032
64,nok,0.999,N/A,N/A
65,nok,0.996,N/A,N/A
66,nok,0.998,N/A,N/A
67,nok,0.997,N/A,N/A
68,nok,0.995,12.9kg,2038
69,nok,0.985,N/A,N/A
70,ok,0.993,N/A,2036
71,nok,0.999,N/A,N/A
72,ok,0.992,16.4kg,N/A
73,nok,0.998,15.2kg,2031
74,nok,0.999,N/A,N/A
75,ok,0.997,12.5kg,2033
76,ok,0.993,16.1kg,2033
77,nok,0.998,N/A,N/A
78,nok,0.999,N/A,2074
79,ok,0.960,N/A,N/A
80,nok,0.993,N/A,2034
81,nok,0.995,N/A,N/A
82,nok,0.996,N/A,2033
83,ok,0.992,N/A,2033
84,ok,0.997,10.6kg,2038
85,nok,0.998,N/A,N/A
86,nok,1.000,N/A,N/A
87,ok,0.991,15.9kg,2026
88,nok,0.998,N/A,N/A
89,nok,0.999,N/A,N/A
90,ok,0.998,N/A,N/A
91,ok,0.982,N/A,2033
92,nok,0.999,N/A,N/A
93,nok,0.998,N/A,N/A
94,nok,1.000,N/A,N/A
95,nok,0.998,N/A,N/A
96,ok,0.998,10.8kg,2035
97,nok,0.998,N/A,2035
98,nok,0.999,N/A,N/A
99,nok,0.988,13.1kg,2038
100,ok,0.988,N/A,N/A
101,nok,0.998,N/A,N/A
102,nok,0.999,N/A,2037
103,nok,0.998,N/A,N/A
104,nok,0.999,N/A,N/A
105,ok,0.998,N/A,2033
106,nok,0.986,N/A,N/A
107,ok,0.995,10.8kg,2039
108,nok,0.999,N/A,N/A
109,ok,0.997,10.4kg,2033
110,ok,0.990,15.2kg,N/A
111,nok,0.997,15.5kg,2077
